Year,MJJA,NTREND2015,upper2sigma,lower2sigma,,MJJAspl20,NTREND2015spl20,upper2sigma,lower2sigma
750,,-0.279,1.438,-1.996,,,-0.463,6.01E-03,-0.9321
751,,-0.3074,1.4096,-2.0243,,,-0.4694,-3.62E-04,-0.9384
752,,-0.4209,1.296,-2.1379,,,-0.4803,-0.0112,-0.9493
753,,-0.1939,1.5231,-1.9108,,,-0.494,-0.0249,-0.963
754,,-0.8183,0.8986,-2.5353,,,-0.5079,-0.0388,-0.9769
755,,-0.3661,1.1926,-1.9247,,,-0.5177,-0.0854,-0.95
756,,-0.9005,0.6581,-2.4591,,,-0.5204,-0.0881,-0.9527
757,,-0.9272,0.6314,-2.4858,,,-0.5131,-0.0808,-0.9454
758,,-0.3928,1.1658,-1.9514,,,-0.496,-0.0637,-0.9282
759,,-0.3661,1.1926,-1.9247,,,-0.472,-0.0398,-0.9043
760,,-0.3678,1.04,-1.7755,,,-0.4444,-0.0708,-0.818
761,,-0.6092,0.7986,-2.0169,,,-0.4151,-0.0415,-0.7887
762,,-0.5653,0.8425,-1.973,,,-0.3857,-0.0121,-0.7593
763,,-0.28,1.1278,-1.6878,,,-0.3594,0.0142,-0.733
764,,5.28E-03,1.413,-1.4025,,,-0.3406,0.033,-0.7142
765,,-0.0167,1.3911,-1.4244,,,-0.333,0.0406,-0.7066
766,,-0.4336,0.9742,-1.8414,,,-0.3373,0.0363,-0.7109
767,,-0.2361,1.1717,-1.6439,,,-0.3519,0.0217,-0.7255
768,,-0.2581,1.1497,-1.6658,,,-0.3751,-1.49E-03,-0.7487
769,,-0.4117,0.9961,-1.8194,,,-0.4042,-0.0306,-0.7778
770,,-0.4336,0.9742,-1.8414,,,-0.4358,-0.0623,-0.8094
771,,-0.2581,1.1497,-1.6658,,,-0.4664,-0.0928,-0.84
772,,-0.8725,0.5353,-2.2803,,,-0.4919,-0.1183,-0.8655
773,,-0.8944,0.5133,-2.3022,,,-0.5076,-0.134,-0.8812
774,,-0.4556,0.9522,-1.8633,,,-0.5117,-0.1381,-0.8853
775,,-0.6531,0.7547,-2.0608,,,-0.5052,-0.1316,-0.8788
776,,-0.4775,0.9303,-1.8853,,,-0.4897,-0.1161,-0.8633
777,,-0.3458,1.0619,-1.7536,,,-0.4678,-0.0942,-0.8414
778,,-0.3458,1.0619,-1.7536,,,-0.4418,-0.0682,-0.8154
779,,-0.3239,1.0839,-1.7317,,,-0.4133,-0.0397,-0.7868
780,,-0.7189,0.6889,-2.1267,,,-0.3826,-9.04E-03,-0.7562
781,,-0.1264,1.2814,-1.5342,,,-0.3502,0.0234,-0.7238
782,,-0.3458,1.0619,-1.7536,,,-0.3181,0.0555,-0.6916
783,,-0.3058,1.0406,-1.6523,,,-0.2872,0.0701,-0.6446
784,,-0.3708,0.9757,-1.7172,,,-0.2587,0.0986,-0.6161
785,,-0.0245,1.3219,-1.371,,,-0.2339,0.1234,-0.5912
786,,-0.3708,0.9757,-1.7172,,,-0.2144,0.1429,-0.5718
787,,0.0837,1.4301,-1.2628,,,-0.2012,0.1561,-0.5585
