Age,Oxygen
1357.8,-3.59
1357.12,-3.6
1356.44,-3.98
1355.76,-3.68
1355.08,-3.67
1354.39,-3.51
1353.7,-3.47
1353.01,-3.44
1352.32,-3.55
1351.63,-3.45
1350.93,-3.47
1350.23,-3.65
1349.53,-3.71
1348.83,-3.71
1348.13,-3.7
1347.42,-3.58
1346.72,-3.67
1346.01,-4.03
1345.3,-3.58
1344.59,-3.73
1343.87,-3.84
1343.16,-3.82
1341.72,-4.35
1341,-4.05
1340.28,-4.08
1339.56,-4.09
1338.83,-4.15
1338.11,-4.18
1337.38,-4.23
1336.65,-4.27
1335.92,-4.28
1335.19,-4.2
1334.46,-4.27
1333.73,-4.27
1332.99,-4.33
1332.26,-4.3
1331.52,-4.29
1330.78,-4.32
1330.04,-4.29
1329.3,-4.36
1328.56,-4.36
1327.82,-4.33
1327.08,-4.31
1326.33,-4.38
1325.59,-4.41
1324.85,-4.48
1324.1,-4.47
1323.35,-4.41
1322.61,-4.43
1321.86,-4.38
1321.11,-4.47
1320.36,-4.52
1319.61,-4.57
1318.86,-4.44
1318.11,-4.46
1317.36,-4.4
1316.61,-4.37
1315.85,-4.53
1315.1,-4.45
1314.35,-4.46
1313.6,-4.34
1312.84,-4.32
1312.09,-4.23
1311.34,-4.05
1310.58,-3.98
1309.83,-4.04
1309.07,-4.1
1308.32,-4.15
1307.56,-4.23
1306.81,-4.27
1306.06,-4.28
1305.3,-4.1
1304.55,-4.25
1303.79,-4.15
1303.04,-4.19
1302.29,-4.25
1301.53,-4.15
1300.78,-3.88
1300.03,-3.78
1299.27,-3.58
1298.52,-3.81
1297.77,-3.68
1297.02,-3.42
1296.27,-3.5
1295.51,-3.91
1294.75,-3.99
1293.97,-3.98
1293.19,-4.27
1292.4,-3.76
1291.6,-3.83
1290.79,-3.97
1289.97,-3.95
1289.14,-4.2
1288.31,-4.34
1287.47,-4.63
1286.62,-4.63
1285.76,-4.44
1284.9,-4.45
1284.02,-4.58
1283.15,-4.39
1282.26,-5.09
1281.37,-4.84
1280.47,-4.27
1279.56,-4.63
1278.65,-4.68
1277.73,-4.25
1276.81,-3.97
1275.88,-3.86
1274.95,-3.73
1274.01,-3.7
1273.06,-3.6
1272.11,-3.83
1271.16,-4.02
1270.2,-4.37
1269.23,-4.21
1268.26,-4.26
1267.29,-4.11
1266.31,-4.17
1265.33,-4.22
1264.34,-4.09
1263.36,-4
1262.36,-4.05
1261.37,-3.97
1260.37,-3.93
1259.37,-4.11
1258.36,-4.2
1257.36,-4.31
1256.35,-4.26
1255.34,-4.05
1254.32,-3.9
1253.31,-3.94
1252.29,-3.76
1251.27,-3.58
1250.25,-3.67
1249.23,-3.69
1248.21,-3.91
1247.18,-4.2
1246.16,-4.42
1245.13,-4.56
1244.11,-4.68
1243.08,-4.57
1242.06,-4.77
1241.03,-4.63
1240,-4.57
1238.98,-4.58
1237.96,-4.66
1236.93,-4.79
1235.91,-4.78
1234.89,-4.69
1233.87,-4.52
1232.85,-4.35
1231.83,-4.25
1230.81,-4.28
1229.8,-4.28
1228.78,-4.41
1227.77,-4.36
1226.77,-4.22
1225.76,-4.17
1224.76,-4.23
1223.76,-4.36
1222.76,-4.12
1221.77,-3.95
1220.78,-3.98
1219.79,-4.02
1218.81,-4.09
1217.83,-4.07
1216.86,-3.97
1215.88,-3.9
1214.92,-3.97
1213.96,-3.88
1213,-3.8
1211.1,-3.77
1210.16,-3.66
1209.22,-3.6
1208.29,-3.52
1207.36,-3.44
1206.44,-3.64
1205.53,-3.63
1204.62,-3.72
1203.72,-3.62
1202.82,-3.54
1201.94,-3.52
1201.05,-3.71
1200.18,-3.88
1199.31,-3.92
1198.45,-3.96
1197.6,-3.96
1196.75,-3.72
1195.92,-3.92
1195.09,-3.75
1194.27,-3.82
1193.45,-4.04
1192.65,-4.13
1191.85,-4.18
1191.07,-4.04
1190.29,-3.95
1189.52,-3.9
1188.76,-3.88
1188.01,-4.06
1187.27,-4.11
1186.54,-4.26
1185.82,-4.24
1185.11,-4.49
1184.41,-4.7
1183.72,-4.48
1183.04,-4.22
1182.37,-4.34
1181.71,-4.12
1181.06,-3.97
1180.4,-3.79
1179.76,-3.86
1179.11,-4.07
1178.48,-4.04
1177.84,-4.06
1177.21,-3.99
1176.59,-3.85
1175.96,-3.69
1175.35,-3.6
1174.73,-3.74
1174.12,-3.65
1173.52,-3.6
1172.92,-3.54
1172.32,-3.69
1171.72,-3.81
1171.13,-3.81
1170.55,-3.7
1169.96,-4.11
1169.38,-4.04
1168.81,-4.01
1168.24,-4.38
1167.67,-3.95
1167.1,-4.1
1166.54,-3.91
1165.98,-4.18
1165.43,-4.7
1164.88,-4.28
1164.33,-3.95
1163.79,-4.01
1163.24,-4.13
1162.7,-4.01
1162.17,-4.08
1161.64,-3.93
1161.11,-3.92
1160.58,-4.03
1160.06,-3.97
1159.54,-3.81
1159.02,-4.16
1158.5,-3.87
1157.99,-3.9
1157.48,-4.09
